分析层,数据项,计算结果,备注
宏观L1 现代语言层密度,补天(1922),词级0.26% / 句级5.8% / 段级覆盖9.6%,历史层词级2.37%
宏观L1 现代语言层密度,奔月(1926),词级0.73% / 句级7.7% / 段级覆盖21.4%,历史层词级2.49%
宏观L1 现代语言层密度,铸剑(1927),词级0.35% / 句级3.4% / 段级覆盖9.3%,历史层词级4.28%（全场第二高）
宏观L1 现代语言层密度,非攻(1934),词级0.36% / 句级4.5% / 段级覆盖8.3%,历史层词级2.55%
宏观L1 现代语言层密度,理水(1935),词级2.23% / 句级24.7% / 段级覆盖42.6%,历史层词级2.83%；句级段级均为全场最高
宏观L1 现代语言层密度,采薇(1935),词级0.68% / 句级10.8% / 段级覆盖16.2%,历史层词级5.47%（全场最高）
宏观L1 现代语言层密度,出关(1935),词级1.65% / 句级16.8% / 段级覆盖26.7%,历史层词级3.70%
宏观L1 现代语言层密度,起死(1935),词级2.48%（全场最高）/ 句级19.3% / 段级覆盖33.6%,历史层词级1.86%（全场最低）
宏观L1 结构判定,V型反弹,三口径一致：铸剑谷底（句级3.4%<补天5.8%）→逐篇回升,起死词级峰、理水句级/段级峰
宏观L2 位置策略,补天,插入段7/73，前中后2/0/5，均位0.581，熵0.54,点状·后段集中
宏观L2 位置策略,奔月,插入段24/112，前中后8/8/8，均位0.513，熵1.00,线状·完美均匀
宏观L2 位置策略,铸剑,插入段15/162，前中后5/3/7，均位0.581，熵0.95,极稀疏；残存现代词（会议1/讨论2/研究1/保险1/资本1）集中结尾辨头段
宏观L2 位置策略,非攻,插入段11/120，前中后4/4/3，均位0.513，熵0.99,稀疏·均匀
宏观L2 位置策略,理水,插入段52/122，前中后27/15/10，均位0.393，熵0.92,分区·前段集中（文化山场景）
宏观L2 位置策略,采薇,插入段28/142，前中后7/7/14，均位0.576，熵0.95,后段略密
宏观L2 位置策略,出关,插入段29/105，前中后8/6/15，均位0.560，熵0.93,后段偏密·贯穿
宏观L2 位置策略,起死,插入段47/134，前中后9/12/26，均位0.641，熵0.90,面状·后段极密（巡士35处+警棍/警笛/制服）
宏观L3 语义距离,补天,词对0.740±0.085 / 质心0.454,
宏观L3 语义距离,奔月,词对0.689±0.072 / 质心0.322,
宏观L3 语义距离,铸剑,词对0.742±0.080 / 质心0.326,词对口径全场第二高
宏观L3 语义距离,非攻,词对0.753±0.076 / 质心0.372,词对口径全场最高
宏观L3 语义距离,理水,词对0.738±0.085 / 质心0.256,质心口径全场第二低
宏观L3 语义距离,采薇,词对0.730±0.086 / 质心0.284,
宏观L3 语义距离,出关,词对0.720±0.082 / 质心0.253,质心口径全场最低
宏观L3 语义距离,起死,词对0.736±0.087 / 质心0.346,晚期五篇中质心最高
宏观L3 基准,词典全局基准,0.774,词对口径篇际差异<1SD，不敏感；质心口径呈晚期收拢
微观 情感曲线,场景均值,月下捕鼠-0.03/母亲述仇+0.19/入城+0.25/交付头颅+0.08/第一歌+0.35/宫殿献技+0.17/鼎中歌唱+0.45/三头同煮-0.05/辨头+0.06/葬礼+0.42,162段572句
微观 情感曲线,交付头颅三段轨迹,初遇+0.006→对话+0.017→托付+0.395,情感重心在托付段
微观 情感曲线,割头场景(para69-71),+0.304（9句）,含肯定性对话
微观 情感曲线,歌谣文本单元(28句),"均值+0.546，范围[-0.25,+0.99]",高于全部场景均值；TOP5段落情感值中占3席
微观 情感曲线,歌谣内部极性交替,高值：宇宙有穷止兮+0.989/克服怨敌+0.988/幸我来也兮+0.944；低值：头换头兮两个仇人自屠-0.250/哈哈爱兮叠句-0.105,呼语低沉—誓言高扬
微观 情感曲线,三头同煮振荡,均值-0.05，振荡率0.58，峰+1.00/谷-0.99,高频双极振荡而均值近中性
微观 人物网络,眉间尺—宴之敖者,交付头颅+0.934 / 三头同煮+0.616,交付场景近正向极值
微观 人物网络,眉间尺—楚王,交付头颅+0.657 / 三头同煮+0.110（共现4句）,三头同煮低正值=仪式完成式沉静
微观 人物网络,宴之敖者—楚王,鼎中歌唱-0.121（共现3句）/ 三头同煮+0.616,鼎中歌唱为全网唯一负向边
微观 人物网络,加权度中心性,楚王9 > 眉间尺7 > 宴之敖者6,楚王为'缺席的在场'枢纽
微观 语义密度,场景复合z排序,宫殿献技+0.847 > 入城遇王+0.532 > 辨头群像+0.454 > 三头同煮+0.361 > 鼎中歌唱+0.230 > 葬礼-0.157 > 第一歌-0.280 > 月下捕鼠-0.282 > 母亲述仇-0.518 > 交付头颅-1.187,TTR+TF-IDF+向量方差z复合
微观 语义密度,段落级TOP8分布,5席集中于para93-137（金鼎-歌唱叙事簇：102/98/104/113/141/142）,密度高峰为叙事推进段
微观 语义密度,歌谣段落,复合z均值-0.209（低于全文均值0.000）,情感极性与语义多样性解耦
